,id,original_title,budget,revenue,release_date,popularity.1,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity,percentage_revenue,Won
0,5,Four Rooms,4000000.0,4257354.0,1995.0,22.784,5.744,98.0,32.03385714,362.055,36.681,15.71571429,225.92,27.939,106.43,False
1,6,Judgment Night,21000000.0,12136938.0,1993.0,11.53,6.543,109.0,14.83485714,124.008,23.049,3.600142857,32.165,5.436,57.79,False
2,12,Finding Nemo,94000000.0,940335536.0,2003.0,99.34,7.824,100.0,23.00642857,467.094,41.251,8.758,404.117,14.186,1000.36,True
3,13,Forrest Gump,55000000.0,677387716.0,1994.0,68.192,8.481,142.0,32.83757143,526.057,99.618,6.422,224.432,11.735,1231.61,True
4,14,American Beauty,15000000.0,356296601.0,1999.0,29.015,8.03,122.0,19.36285714,229.872,25.965,9.646571429,208.761,28.986,2375.31,True
5,16,Dancer in the Dark,12800000.0,40031879.0,2000.0,19.612,7.887,141.0,18.84,185.618,28.614,9.481285714,112.345,15.141,312.75,False
6,17,The Dark,,6593579.0,2005.0,10.921,5.817,87.0,8.585285714,61.991,30.177,3.144,119.584,10.405,187.66,False
7,18,The Fifth Element,90000000.0,263920180.0,1997.0,59.477,7.524,126.0,30.29185714,494.334,62.785,11.22785714,391.268,15.914,293.24,False
8,20,My Life Without Me,2500000.0,12300000.0,2003.0,16.395,5.879,106.0,17.27142857,144.732,26.762,2.432,30.785,4.897,492.0,False
9,22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,655011224.0,2003.0,108.864,7.783,143.0,38.121,417.65,102.416,8.175714286,298.031,9.936,467.87,False
10,24,Kill Bill: Vol. 1,30000000.0,180906076.0,2003.0,44.236,7.971,111.0,23.69357143,311.557,40.792,21.501,410.748,35.397,603.02,False
11,25,Jarhead,72000000.0,97076152.0,2005.0,19.078,6.611,123.0,24.38757143,275.02,41.271,5.272714286,159.458,11.562,134.83,False
12,27,9 Songs,1000000.0,1574623.0,2004.0,23.794,5.723,69.0,3.404285714,27.47,8.248,4.092,30.312,5.607,157.46,False
13,33,Unforgiven,14400000.0,159157447.0,1992.0,27.06,7.925,130.0,33.65971429,324.276,64.203,19.352,205.367,50.802,1105.26,True
14,35,The Simpsons Movie,75000000.0,527068851.0,2007.0,83.515,7.0,87.0,25.99142857,246.778,99.618,10.19142857,139.156,15.053,702.76,False
15,38,Eternal Sunshine of the Spotless Mind,20000000.0,72258126.0,2004.0,53.211,8.1,108.0,26.30057143,231.874,57.259,6.350571429,82.156,7.894,361.29,True
16,55,Amores perros,2000000.0,20908467.0,2000.0,30.986,7.619,154.0,5.840285714,61.328,18.83,9.303285714,117.488,26.927,1045.42,False
17,58,Pirates of the Caribbean: Dead Man's Chest,200000000.0,1065659812.0,2006.0,98.448,7.3,151.0,30.12514286,385.591,41.794,9.114142857,316.889,12.807,532.83,True
18,59,A History of Violence,32000000.0,60740827.0,2005.0,17.83,7.181,96.0,20.86271429,186.966,40.611,4.525714286,80.405,13.15,189.82,False
19,63,Twelve Monkeys,29000000.0,168841459.0,1995.0,40.905,7.598,129.0,21.97985714,239.206,36.681,5.571714286,170.618,11.24,582.21,False
20,64,Hable con ella,,64803131.0,2002.0,12.595,7.601,112.0,12.67385714,118.223,25.121,3.345,29.079,4.897,187.66,False
21,65,8 Mile,41000000.0,242875078.0,2002.0,24.948,7.123,111.0,21.24014286,203.58,40.781,5.432,141.002,11.288,592.38,True
22,66,Absolute Power,50000000.0,50068310.0,1997.0,14.939,6.633,121.0,28.86571429,291.759,50.802,16.67842857,130.011,50.802,100.14,False
23,67,Paradise Now,2000000.0,3395627.0,2005.0,8.836,6.935,90.0,5.677571429,39.743,13.608,2.012285714,21.646,6.19,169.78,False
24,69,Walk the Line,28000000.0,186797986.0,2005.0,22.324,7.495,136.0,20.05485714,253.469,53.205,7.390285714,124.318,13.352,667.14,True
25,70,Million Dollar Baby,30000000.0,216763646.0,2004.0,27.074,7.963,132.0,37.26128571,400.416,64.203,25.78371429,280.578,50.802,722.55,True
26,71,Billy Elliot,5000000.0,109280263.0,2000.0,23.305,7.592,110.0,11.14414286,126.029,18.455,2.252142857,23.499,4.839,2185.61,False
27,73,American History X,20000000.0,23875127.0,1998.0,29.381,8.358,119.0,25.50771429,287.891,36.749,3.423142857,119.606,7.382,119.38,False
28,74,War of the Worlds,132000000.0,603873119.0,2005.0,46.205,6.493,117.0,36.03571429,546.571,64.203,9.563,323.186,33.237,457.48,False
29,75,Mars Attacks!,70000000.0,101371017.0,1996.0,24.247,6.392,106.0,38.54485714,557.526,62.667,7.990571429,99.999,16.77,144.82,False
30,76,Before Sunrise,2500000.0,5987386.0,1995.0,24.44,7.965,101.0,8.370428571,73.519,30.074,3.051857143,35.796,5.817,239.5,False
31,77,Memento,9000000.0,39723096.0,2000.0,34.37,8.19,113.0,17.86857143,152.099,26.04,8.806285714,92.387,18.152,441.37,False
32,79,英雄,31000000.0,177394432.0,2002.0,21.692,7.513,99.0,25.92214286,193.347,73.521,8.780285714,77.166,27.939,572.24,False
33,80,Before Sunset,2700000.0,15992615.0,2004.0,18.444,7.821,80.0,9.013428571,65.768,30.074,11.09871429,93.092,30.074,592.32,False
34,82,Miami Vice,135000000.0,163794509.0,2006.0,18.172,5.987,132.0,20.70271429,304.09,33.459,6.709714286,226.361,9.509,121.33,False
35,83,Open Water,130000.0,54667954.0,2003.0,18.721,5.514,79.0,1.9535,11.721,4.494,1.405428571,22.62,2.227,42052.27,False
36,95,Armageddon,140000000.0,553799566.0,1998.0,55.413,6.821,151.0,36.739,649.673,54.128,9.791571429,303.313,17.079,395.57,False
37,98,Gladiator,103000000.0,465361176.0,2000.0,78.367,8.2,155.0,24.87814286,343.025,45.866,8.568857143,293.994,12.807,451.81,True
38,99,Todo sobre mi madre,8272296.0,67872296.0,1999.0,16.488,7.668,101.0,7.248714286,79.823,22.322,2.701428571,35.785,4.897,820.48,False
39,100,"Lock, Stock and Two Smoking Barrels",1350000.0,28356188.0,1998.0,12.793,8.137,105.0,27.737,293.047,123.947,13.88385714,105.468,25.192,2100.46,False
40,101,Léon: The Professional,16000000.0,45284974.0,1994.0,44.945,8.32,111.0,28.86357143,309.911,62.785,7.705285714,100.971,15.914,283.03,False
41,104,Lola rennt,1530000.0,7267585.0,1998.0,17.39,7.317,81.0,5.357285714,59.232,12.117,2.949714286,44.684,3.831,475.01,False
42,107,Snatch,10000000.0,83557872.0,2000.0,32.946,7.8,103.0,39.09514286,417.351,123.947,11.26685714,155.472,25.192,835.58,False
43,113,봄 여름 가을 겨울 그리고 봄,,8945072.0,2003.0,17.082,7.84,103.0,6.239714286,47.006,12.999,2.964571429,27.328,5.196,187.66,False
44,115,The Big Lebowski,15000000.0,46969409.0,1998.0,29.229,7.843,117.0,29.09814286,406.338,32.961,5.793285714,176.926,7.756,313.13,False
45,116,Match Point,15000000.0,85306374.0,2005.0,18.15,7.353,124.0,27.47285714,347.78,55.876,6.245714286,116.822,14.465,568.71,False
46,118,Charlie and the Chocolate Factory,150000000.0,474968763.0,2005.0,110.432,7.038,115.0,29.28214286,382.69,44.258,7.106285714,210.891,16.77,316.65,False
47,120,The Lord of the Rings: The Fellowship of the Ring,93000000.0,871368364.0,2001.0,96.543,8.395,179.0,32.61485714,602.103,40.149,10.96157143,221.298,15.919,936.96,True
48,121,The Lord of the Rings: The Two Towers,79000000.0,926287400.0,2002.0,84.945,8.377,179.0,32.61485714,666.314,40.149,10.96157143,215.778,15.919,1172.52,True
49,122,The Lord of the Rings: The Return of the King,94000000.0,1118888979.0,2003.0,84.533,8.475,201.0,32.61485714,718.115,40.149,10.96157143,210.044,15.919,1190.31,True
50,128,もののけ姫,26500000.0,159414369.0,1997.0,41.706,8.34,134.0,6.028857143,69.728,9.262,7.049,122.314,11.146,601.56,False
51,129,千と千尋の神隠し,19000000.0,274925095.0,2001.0,100.881,8.541,125.0,6.125,105.509,7.993,7.572571429,151.242,11.146,1446.97,False
52,134,"O Brother, Where Art Thou?",26000000.0,71870729.0,2000.0,26.212,7.325,107.0,22.41885714,231.428,28.287,5.208714286,103.002,5.36,276.43,False
53,137,Groundhog Day,14600000.0,71074049.0,1993.0,27.1,7.603,101.0,16.132,187.191,22.573,5.679714286,74.361,9.332,486.81,False
54,140,La mala educación,5000000.0,40266982.0,2004.0,12.091,7.392,106.0,7.853571429,81.144,18.83,3.610571429,52.919,4.897,805.34,False
55,141,Donnie Darko,6000000.0,7500000.0,2001.0,28.69,7.784,114.0,28.423,347.764,38.904,8.354571429,160.321,36.076,125.0,False
56,142,Brokeback Mountain,14000000.0,178043761.0,2005.0,31.08,7.803,134.0,29.89685714,322.918,43.901,5.309857143,129.161,11.312,1271.74,True
57,145,Breaking the Waves,,3803298.0,1996.0,17.528,7.483,159.0,11.916,98.726,26.534,4.469285714,46.986,10.257,187.66,False
58,146,卧虎藏龍,17000000.0,213525736.0,2000.0,28.836,7.402,120.0,20.61957143,152.962,86.057,6.700857143,119.472,11.312,1256.03,False
59,153,Lost in Translation,4000000.0,119723856.0,2003.0,21.233,7.394,102.0,17.85185714,162.987,55.876,16.46114286,180.721,43.52,2993.1,True
60,155,The Dark Knight,185000000.0,1004558444.0,2008.0,86.927,8.509,152.0,43.53257143,719.329,64.203,16.53314286,284.46,21.055,543.0,True
61,161,Ocean's Eleven,85000000.0,450717150.0,2001.0,37.512,7.421,116.0,32.72328571,535.695,59.415,7.526714286,215.399,14.244,530.26,False
62,163,Ocean's Twelve,110000000.0,362744280.0,2004.0,28.888,6.559,125.0,34.37457143,549.466,59.415,7.165714286,204.974,9.555,329.77,False
63,167,K-PAX,48000000.0,50315140.0,2001.0,14.346,7.187,120.0,19.53557143,209.363,36.29,5.926857143,143.294,7.847,104.82,False
64,170,28 Days Later,5000000.0,85720385.0,2002.0,36.177,7.2,113.0,18.40214286,169.827,54.192,4.536428571,84.923,6.487,1714.41,False
65,176,Saw,1200000.0,103911669.0,2004.0,48.305,7.396,103.0,20.18614286,203.302,34.784,8.828571429,132.174,17.446,8659.31,False
66,178,Blown Away,28000000.0,30156002.0,1994.0,15.561,6.139,121.0,22.35557143,206.25,43.138,5.255714286,72.257,6.595,107.7,False
67,179,The Interpreter,80000000.0,162944923.0,2005.0,16.051,6.3,128.0,18.12985714,248.55,28.986,7.254571429,194.517,10.209,203.68,False
68,180,Minority Report,102000000.0,358372926.0,2002.0,28.795,7.333,145.0,30.78785714,520.0,38.346,10.83071429,575.131,33.237,351.35,False
69,182,The Good German,32000000.0,5914908.0,2006.0,10.611,5.759,108.0,20.83671429,204.118,33.853,6.367428571,95.954,8.621,18.48,False
70,184,Jackie Brown,12000000.0,39673162.0,1997.0,22.764,7.353,154.0,34.16442857,340.979,57.826,14.15585714,293.969,27.939,330.61,False
71,186,Lucky Number Slevin,27000000.0,56308881.0,2006.0,27.66,7.477,110.0,36.76228571,334.327,64.203,2.824857143,147.137,4.466,208.55,False
72,187,Sin City,40000000.0,158733820.0,2005.0,25.858,7.435,124.0,34.24328571,619.425,43.52,16.86985714,334.539,27.939,396.83,False
73,189,Sin City: A Dame to Kill For,65000000.0,39407616.0,2014.0,40.716,6.36,102.0,39.91157143,606.168,51.282,6.524,111.443,6.8,60.63,False
74,193,Star Trek: Generations,38000000.0,120000000.0,1994.0,17.263,6.5,118.0,19.79042857,295.768,24.479,3.673428571,106.593,5.965,315.79,False
75,194,Le Fabuleux Destin d'Amélie Poulain,10000000.0,173921954.0,2001.0,25.436,7.905,122.0,10.00657143,180.166,18.426,3.286142857,94.245,4.64,1739.22,False
76,197,Braveheart,72000000.0,213216216.0,1995.0,35.784,7.931,178.0,22.263,335.383,34.653,14.22814286,345.794,30.765,296.13,True
77,199,Star Trek: First Contact,46000000.0,150000000.0,1996.0,24.071,7.3,111.0,21.54614286,243.709,35.337,6.206857143,177.109,15.041,326.09,False
78,200,Star Trek: Insurrection,70000000.0,118000000.0,1998.0,20.637,6.4,103.0,16.985,215.228,22.92,8.509142857,249.868,22.92,168.57,False
79,201,Star Trek: Nemesis,60000000.0,67312826.0,2002.0,28.346,6.3,117.0,34.05714286,341.226,77.107,6.902142857,287.809,10.067,112.19,False
80,205,Hotel Rwanda,17500000.0,38000000.0,2004.0,14.102,7.712,121.0,17.17728571,152.831,37.702,3.35,76.345,6.11,217.14,False
81,214,Saw III,10000000.0,164874275.0,2006.0,30.615,6.38,114.0,15.07714286,192.234,34.784,9.991857143,128.392,17.446,1648.74,False
82,215,Saw II,4000000.0,147748505.0,2005.0,37.061,6.556,89.0,18.54914286,176.467,34.784,7.925571429,158.903,17.446,3693.71,False
83,217,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,786636033.0,2008.0,37.357,5.97,122.0,27.99214286,366.717,44.563,11.80914286,153.86,33.237,425.21,False
84,219,Volver,12899867.0,85582407.0,2006.0,13.588,7.479,121.0,8.199,86.135,22.322,2.42,46.813,4.897,663.44,False
85,226,Boys Don't Cry,2000000.0,11540607.0,1999.0,14.58,7.45,118.0,12.53785714,128.259,27.027,2.067857143,37.597,2.588,577.03,True
86,231,Syriana,50000000.0,93974620.0,2005.0,15.683,6.425,128.0,32.33414286,405.085,59.415,7.660714286,96.942,26.779,187.95,True
87,236,Muriel's Wedding,3000000.0,15119639.0,1994.0,19.277,6.901,106.0,9.165428571,132.678,26.277,2.005285714,41.391,2.568,503.99,False
88,237,Young Adam,6400000.0,2500000.0,2003.0,10.379,5.9,93.0,18.22242857,142.413,39.89,2.681714286,21.74,5.459,39.06,False
89,241,Natural Born Killers,34000000.0,50283563.0,1994.0,22.496,7.075,118.0,27.96785714,416.907,44.687,9.851,118.607,27.939,147.89,False
90,243,High Fidelity,30000000.0,47126295.0,2000.0,15.528,7.14,113.0,26.80528571,331.514,52.843,12.51857143,196.356,21.088,157.09,False
91,245,About a Boy,27000000.0,129000000.0,2002.0,14.735,6.655,101.0,27.75971429,271.679,46.149,13.95528571,192.827,57.826,477.78,False
92,246,座頭市,2500000.0,34196922.0,2003.0,11.917,7.249,111.0,7.185285714,90.852,12.438,3.507285714,28.981,6.238,1367.88,False
93,254,King Kong,207000000.0,562363449.0,2005.0,43.702,6.859,187.0,29.24042857,324.726,52.843,9.962142857,263.866,15.919,271.67,True
94,257,Oliver Twist,50000000.0,42580321.0,2005.0,14.815,6.75,130.0,15.68742857,196.42,36.035,3.497428571,37.951,4.342,85.16,False
95,267,Carne trémula,,1535558.0,1997.0,14.721,7.09,103.0,11.56142857,88.409,25.325,2.732857143,23.558,4.897,187.66,False
96,272,Batman Begins,150000000.0,374218673.0,2005.0,46.897,7.695,140.0,52.09514286,688.175,91.438,11.776,305.957,18.152,249.48,False
97,275,Fargo,7000000.0,60611975.0,1996.0,20.588,7.871,98.0,20.39014286,189.441,28.614,5.192428571,85.08,5.36,865.89,True
98,277,Underworld,22000000.0,95708457.0,2003.0,33.275,6.796,122.0,20.63842857,208.4,33.922,4.410285714,160.779,4.8,435.04,False
99,278,The Shawshank Redemption,25000000.0,28341469.0,1994.0,74.053,8.702,142.0,28.07071429,377.368,64.203,12.75685714,235.713,20.194,113.37,False
100,281,Strange Days,42000000.0,7959291.0,1995.0,15.819,6.996,145.0,30.349,351.882,56.117,14.76571429,259.996,25.977,18.95,False
101,285,Pirates of the Caribbean: At World's End,300000000.0,961000000.0,2007.0,106.327,7.2,169.0,30.12514286,420.712,41.794,9.426714286,189.061,12.807,320.33,False
102,293,A River Runs Through It,12000000.0,43440294.0,1992.0,18.796,7.042,123.0,20.91271429,201.26,36.303,6.836571429,71.22,17.377,362.0,False
103,296,Terminator 3: Rise of the Machines,200000000.0,435000000.0,2003.0,52.627,6.13,109.0,15.15685714,189.633,27.661,9.285857143,360.561,25.977,217.5,False
104,297,Meet Joe Black,90000000.0,142940100.0,1998.0,71.992,7.266,178.0,22.12228571,179.132,36.303,4.399857143,116.831,6.22,158.82,False
105,298,Ocean's Thirteen,85000000.0,311312624.0,2007.0,27.327,6.71,122.0,33.90214286,493.622,59.415,5.869714286,155.884,8.621,366.25,False
106,300,La Science des rêves,6000000.0,9524340.0,2006.0,12.127,7.055,105.0,8.443428571,68.845,18.83,3.388,28.572,6.121,158.74,False
107,302,Swimming Pool,7800000.0,22441323.0,2003.0,15.065,6.521,102.0,9.380714286,71.879,33.43,2.314571429,24.27,3.96,287.71,False
108,306,Beverly Hills Cop III,50000000.0,119208989.0,1994.0,26.351,5.875,105.0,15.01328571,338.1,28.645,4.512428571,112.063,6.607,238.42,False
109,308,Broken Flowers,10000000.0,46720491.0,2005.0,12.766,6.934,106.0,24.10057143,239.707,39.89,3.247142857,33.016,5.423,467.2,False
110,309,Festen,1300000.0,,1998.0,9.406,7.731,105.0,8.168714286,92.507,12.472,3.286714286,37.611,10.33,187.66,False
111,310,Bruce Almighty,80000000.0,484592874.0,2003.0,55.937,6.699,101.0,32.142,451.969,64.203,6.889428571,197.656,19.319,605.74,False
112,313,Snow Cake,12000000.0,1381665.0,2006.0,9.94,7.132,112.0,22.70328571,173.612,85.169,3.461428571,32.723,8.366,11.51,False
113,314,Catwoman,100000000.0,82102379.0,2004.0,20.654,4.585,104.0,23.29314286,334.706,38.212,6.486714286,255.259,11.691,82.1,False
114,318,The Million Dollar Hotel,8000000.0,105983.0,2000.0,12.979,5.918,122.0,26.24828571,293.464,36.641,5.570571429,46.66,8.548,1.32,False
115,319,True Romance,12500000.0,12600000.0,1993.0,27.645,7.538,120.0,41.21585714,542.656,62.785,14.29385714,202.604,27.939,100.8,False
116,320,Insomnia,46000000.0,113714830.0,2002.0,18.866,6.928,118.0,19.96342857,218.996,33.897,10.28142857,119.594,26.779,247.21,False
117,322,Mystic River,25000000.0,156822020.0,2003.0,28.864,7.748,138.0,32.82085714,367.216,54.756,24.21071429,211.878,50.802,627.29,True
118,326,Snakes on a Plane,33000000.0,62022014.0,2006.0,24.566,5.391,105.0,24.00371429,304.116,51.265,4.030428571,170.313,6.336,187.95,False
119,327,Brother,12000000.0,15250000.0,2000.0,13.698,7.148,114.0,13.86671429,211.008,31.126,4.293714286,38.013,6.56,127.08,False
120,329,Jurassic Park,63000000.0,920100000.0,1993.0,25.825,7.934,127.0,25.226,259.245,51.265,9.429571429,241.6,33.237,1460.48,True
121,332,Inspector Gadget,75000000.0,134400000.0,1999.0,13.639,4.44,78.0,17.97928571,195.076,26.594,5.301571429,174.861,6.426,179.2,False
122,334,Magnolia,37000000.0,48451803.0,1999.0,18.6,7.727,189.0,26.43971429,559.273,38.346,6.885714286,111.672,8.769,130.95,False
123,337,Monsieur Ibrahim et les Fleurs du Coran,,11576431.0,2003.0,8.885,7.02,91.0,9.300857143,85.028,21.69,1.434857143,23.494,3.15,187.66,False
124,338,"Good Bye, Lenin!",4800000.0,79384880.0,2003.0,13.905,7.563,121.0,7.201,81.302,19.846,3.193714286,49.129,5.196,1653.85,False
125,340,Everything Is Illuminated,7000000.0,3601974.0,2005.0,11.686,7.236,106.0,5.416285714,42.114,29.126,6.667571429,60.766,16.927,51.46,False
126,345,Eyes Wide Shut,65000000.0,162091208.0,1999.0,40.015,7.475,159.0,22.58057143,313.223,38.346,9.193571429,117.875,15.779,249.37,False
127,350,The Devil Wears Prada,35000000.0,326551094.0,2006.0,73.096,7.382,109.0,29.87328571,374.082,50.996,4.160428571,67.907,6.111,933.0,False
128,363,Gegen die Wand,,11030861.0,2004.0,13.539,7.441,117.0,4.239142857,57.472,8.385,3.187,40.234,4.219,187.66,False
129,364,Batman Returns,80000000.0,280000000.0,1992.0,40.125,6.9,126.0,23.12242857,304.495,39.962,9.333714286,148.53,16.77,350.0,False
130,388,Inside Man,45000000.0,186003591.0,2006.0,24.484,7.397,129.0,27.07714286,337.353,41.251,4.111428571,124.321,6.584,413.34,False
131,392,Chocolat,25000000.0,152500343.0,2000.0,17.128,6.959,121.0,22.48342857,206.259,41.794,3.382571429,53.146,7.35,610.0,False
132,393,Kill Bill: Vol. 2,30000000.0,152159461.0,2004.0,26.836,7.877,136.0,28.984,370.782,51.265,25.67671429,398.986,35.397,507.2,False
133,395,AVP: Alien vs. Predator,70000000.0,177427090.0,2004.0,34.594,5.886,101.0,13.09528571,151.934,16.996,7.298285714,238.243,10.405,253.47,False
134,397,French Kiss,,101982854.0,1995.0,16.423,6.4,111.0,14.01414286,98.939,37.702,4.785857143,42.526,15.021,187.66,False
135,398,Capote,7000000.0,49327405.0,2005.0,14.03,7.003,114.0,16.10028571,158.151,27.136,3.539142857,38.574,8.443,704.68,True
136,400,Things to Do in Denver When You're Dead,8000000.0,529766.0,1995.0,11.758,6.502,116.0,25.773,353.865,39.962,4.306428571,57.59,6.578,6.62,False
137,401,Garden State,2500000.0,26781723.0,2004.0,16.001,7.095,102.0,21.18671429,236.424,50.77,10.65785714,89.053,38.183,1071.27,False
138,402,Basic Instinct,49000000.0,352927224.0,1992.0,29.294,6.885,127.0,16.52585714,241.653,34.224,5.656714286,148.537,6.959,720.26,False
139,404,The Straight Story,10000000.0,6203044.0,1999.0,12.042,7.735,112.0,7.476142857,71.707,17.07,7.467714286,69.649,18.206,62.03,False
140,406,La Haine,2600000.0,15300000.0,1995.0,19.61,8.071,98.0,13.47485714,152.728,27.244,6.355285714,81.247,11.933,588.46,False
141,409,The English Patient,27000000.0,231976425.0,1996.0,19.628,7.171,162.0,20.61742857,242.486,41.251,2.805142857,76.524,3.6,859.17,True
142,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,745013115.0,2005.0,293.624,7.12,143.0,35.43971429,424.15,91.438,8.317,234.848,10.203,413.9,True
