,id,original_title,budget,revenue,release_date,popularity.1,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity,percentage_revenue,Won
0,5,Four Rooms,4000000.0,4257354.0,1995.0,22.784,5.744,98.0,32.03385714,362.055,36.681,15.71571429,225.92,27.939,106.43,False
1,6,Judgment Night,21000000.0,12136938.0,1993.0,11.53,6.543,109.0,14.83485714,124.008,23.049,3.600142857,32.165,5.436,57.79,False
2,11,Star Wars,11000000.0,775398007.0,1977.0,86.624,8.207,121.0,17.36771429,297.868,37.206,7.543,121.872,10.994,7049.07,False
3,12,Finding Nemo,94000000.0,940335536.0,2003.0,99.34,7.824,100.0,23.00642857,467.094,41.251,8.758,404.117,14.186,1000.36,False
4,13,Forrest Gump,55000000.0,677387716.0,1994.0,68.192,8.481,142.0,32.83757143,526.057,99.618,6.422,224.432,11.735,1231.61,True
5,14,American Beauty,15000000.0,356296601.0,1999.0,29.015,8.03,122.0,19.36285714,229.872,25.965,9.646571429,208.761,28.986,2375.31,True
6,15,Citizen Kane,839727.0,23218000.0,1941.0,18.031,8.023,119.0,9.962714286,268.076,16.358,8.231428571,64.335,14.954,2764.95,False
7,16,Dancer in the Dark,12800000.0,40031879.0,2000.0,19.612,7.887,141.0,18.84,185.618,28.614,9.481285714,112.345,15.141,312.75,False
8,17,The Dark,,6593579.0,2005.0,10.921,5.817,87.0,8.585285714,61.991,30.177,3.144,119.584,10.405,206.67,False
9,18,The Fifth Element,90000000.0,263920180.0,1997.0,59.477,7.524,126.0,30.29185714,494.334,62.785,11.22785714,391.268,15.914,293.24,False
10,19,Metropolis,1300000.0,650422.0,1927.0,18.312,8.16,149.0,3.411285714,38.686,11.596,6.092428571,64.914,10.317,50.03,False
11,20,My Life Without Me,2500000.0,12300000.0,2003.0,16.395,5.879,106.0,17.27142857,144.732,26.762,2.432,30.785,4.897,492.0,False
12,22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000.0,655011224.0,2003.0,108.864,7.783,143.0,38.121,417.65,102.416,8.175714286,298.031,9.936,467.87,False
13,24,Kill Bill: Vol. 1,30000000.0,180906076.0,2003.0,44.236,7.971,111.0,23.69357143,311.557,40.792,21.501,410.748,35.397,603.02,False
14,25,Jarhead,72000000.0,97076152.0,2005.0,19.078,6.611,123.0,24.38757143,275.02,41.271,5.272714286,159.458,11.562,134.83,False
15,27,9 Songs,1000000.0,1574623.0,2004.0,23.794,5.723,69.0,3.404285714,27.47,8.248,4.092,30.312,5.607,157.46,False
16,28,Apocalypse Now,31500000.0,150000000.0,1979.0,36.234,8.284,147.0,27.53928571,301.516,54.756,7.277571429,118.998,9.176,476.19,False
17,33,Unforgiven,14400000.0,159157447.0,1992.0,27.06,7.925,130.0,33.65971429,324.276,64.203,19.352,205.367,50.802,1105.26,True
18,35,The Simpsons Movie,75000000.0,527068851.0,2007.0,83.515,7.0,87.0,25.99142857,246.778,99.618,10.19142857,139.156,15.053,702.76,False
19,38,Eternal Sunshine of the Spotless Mind,20000000.0,72258126.0,2004.0,53.211,8.1,108.0,26.30057143,231.874,57.259,6.350571429,82.156,7.894,361.29,False
20,55,Amores perros,2000000.0,20908467.0,2000.0,30.986,7.619,154.0,5.840285714,61.328,18.83,9.303285714,117.488,26.927,1045.42,False
21,58,Pirates of the Caribbean: Dead Man's Chest,200000000.0,1065659812.0,2006.0,98.448,7.3,151.0,30.12514286,385.591,41.794,9.114142857,316.889,12.807,532.83,False
22,59,A History of Violence,32000000.0,60740827.0,2005.0,17.83,7.181,96.0,20.86271429,186.966,40.611,4.525714286,80.405,13.15,189.82,False
23,62,2001: A Space Odyssey,12000000.0,71923560.0,1968.0,39.345,8.083,149.0,7.419714286,117.952,15.779,10.75371429,103.772,15.779,599.36,False
24,63,Twelve Monkeys,29000000.0,168841459.0,1995.0,40.905,7.598,129.0,21.97985714,239.206,36.681,5.571714286,170.618,11.24,582.21,False
25,64,Hable con ella,,64803131.0,2002.0,12.595,7.601,112.0,12.67385714,118.223,25.121,3.345,29.079,4.897,206.67,False
26,65,8 Mile,41000000.0,242875078.0,2002.0,24.948,7.123,111.0,21.24014286,203.58,40.781,5.432,141.002,11.288,592.38,False
27,66,Absolute Power,50000000.0,50068310.0,1997.0,14.939,6.633,121.0,28.86571429,291.759,50.802,16.67842857,130.011,50.802,100.14,False
28,67,Paradise Now,2000000.0,3395627.0,2005.0,8.836,6.935,90.0,5.677571429,39.743,13.608,2.012285714,21.646,6.19,169.78,False
29,68,Brazil,15000000.0,9900000.0,1985.0,15.513,7.682,143.0,19.02228571,236.152,57.826,6.419857143,76.389,11.24,66.0,False
30,69,Walk the Line,28000000.0,186797986.0,2005.0,22.324,7.495,136.0,20.05485714,253.469,53.205,7.390285714,124.318,13.352,667.14,False
31,70,Million Dollar Baby,30000000.0,216763646.0,2004.0,27.074,7.963,132.0,37.26128571,400.416,64.203,25.78371429,280.578,50.802,722.55,True
32,71,Billy Elliot,5000000.0,109280263.0,2000.0,23.305,7.592,110.0,11.14414286,126.029,18.455,2.252142857,23.499,4.839,2185.61,False
33,73,American History X,20000000.0,23875127.0,1998.0,29.381,8.358,119.0,25.50771429,287.891,36.749,3.423142857,119.606,7.382,119.38,False
34,74,War of the Worlds,132000000.0,603873119.0,2005.0,46.205,6.493,117.0,36.03571429,546.571,64.203,9.563,323.186,33.237,457.48,False
35,75,Mars Attacks!,70000000.0,101371017.0,1996.0,24.247,6.392,106.0,38.54485714,557.526,62.667,7.990571429,99.999,16.77,144.82,False
36,76,Before Sunrise,2500000.0,5987386.0,1995.0,24.44,7.965,101.0,8.370428571,73.519,30.074,3.051857143,35.796,5.817,239.5,False
37,77,Memento,9000000.0,39723096.0,2000.0,34.37,8.19,113.0,17.86857143,152.099,26.04,8.806285714,92.387,18.152,441.37,False
38,78,Blade Runner,28000000.0,41722424.0,1982.0,39.408,7.934,118.0,21.96414286,221.311,37.206,4.792285714,127.008,10.28,149.01,False
39,79,英雄,31000000.0,177394432.0,2002.0,21.692,7.513,99.0,25.92214286,193.347,73.521,8.780285714,77.166,27.939,572.24,False
40,80,Before Sunset,2700000.0,15992615.0,2004.0,18.444,7.821,80.0,9.013428571,65.768,30.074,11.09871429,93.092,30.074,592.32,False
41,81,風の谷のナウシカ,1000000.0,3301446.0,1984.0,42.222,7.93,117.0,7.763857143,110.729,9.391,10.17257143,132.823,11.146,330.14,False
42,82,Miami Vice,135000000.0,163794509.0,2006.0,18.172,5.987,132.0,20.70271429,304.09,33.459,6.709714286,226.361,9.509,121.33,False
43,83,Open Water,130000.0,54667954.0,2003.0,18.721,5.514,79.0,1.9535,11.721,4.494,1.405428571,22.62,2.227,42052.27,False
44,85,Raiders of the Lost Ark,18000000.0,389925971.0,1981.0,49.264,7.923,115.0,22.893,262.627,37.206,13.92285714,233.369,33.237,2166.26,False
45,87,Indiana Jones and the Temple of Doom,28000000.0,333000000.0,1984.0,40.559,7.295,118.0,22.074,301.686,37.206,13.15028571,147.49,33.237,1189.29,False
46,88,Dirty Dancing,6000000.0,214577242.0,1987.0,34.305,7.348,100.0,13.75785714,171.482,17.581,4.231142857,96.701,6.386,3576.29,False
47,89,Indiana Jones and the Last Crusade,48000000.0,474171806.0,1989.0,44.238,7.838,127.0,19.47885714,265.543,37.206,12.98057143,185.085,33.237,987.86,False
48,90,Beverly Hills Cop,14000000.0,316360478.0,1984.0,24.5,7.187,105.0,17.95114286,286.256,28.645,4.589714286,93.842,6.847,2259.72,False
49,93,Anatomy of a Murder,2000000.0,8000000.0,1959.0,13.309,7.847,161.0,9.218,96.206,17.148,3.118142857,47.913,5.33,400.0,False
50,95,Armageddon,140000000.0,553799566.0,1998.0,55.413,6.821,151.0,36.739,649.673,54.128,9.791571429,303.313,17.079,395.57,False
51,96,Beverly Hills Cop II,28000000.0,299965036.0,1987.0,23.392,6.471,103.0,15.606,309.054,28.645,9.491428571,150.653,28.645,1071.3,False
52,97,Tron,17000000.0,33000000.0,1982.0,19.84,6.684,96.0,10.65128571,83.861,28.369,1.350428571,19.89,1.96,194.12,False
53,98,Gladiator,103000000.0,465361176.0,2000.0,78.367,8.2,155.0,24.87814286,343.025,45.866,8.568857143,293.994,12.807,451.81,True
54,99,Todo sobre mi madre,8272296.0,67872296.0,1999.0,16.488,7.668,101.0,7.248714286,79.823,22.322,2.701428571,35.785,4.897,820.48,False
55,100,"Lock, Stock and Two Smoking Barrels",1350000.0,28356188.0,1998.0,12.793,8.137,105.0,27.737,293.047,123.947,13.88385714,105.468,25.192,2100.46,False
56,101,Léon: The Professional,16000000.0,45284974.0,1994.0,44.945,8.32,111.0,28.86357143,309.911,62.785,7.705285714,100.971,15.914,283.03,False
57,103,Taxi Driver,1300000.0,28570902.0,1976.0,49.889,8.169,114.0,25.64842857,279.791,57.826,5.795571429,125.459,15.775,2197.76,False
58,104,Lola rennt,1530000.0,7267585.0,1998.0,17.39,7.317,81.0,5.357285714,59.232,12.117,2.949714286,44.684,3.831,475.01,False
59,105,Back to the Future,19000000.0,381109762.0,1985.0,54.288,8.31,116.0,18.05314286,289.909,26.61,18.01957143,261.306,33.237,2005.84,False
60,106,Predator,15000000.0,98267558.0,1987.0,70.187,7.489,107.0,15.25985714,154.515,29.184,5.794,201.952,7.417,655.12,False
61,107,Snatch,10000000.0,83557872.0,2000.0,32.946,7.8,103.0,39.09514286,417.351,123.947,11.26685714,155.472,25.192,835.58,False
62,111,Scarface,25000000.0,66023329.0,1983.0,78.652,8.2,170.0,19.84985714,349.944,33.897,6.313714286,81.595,9.903,264.09,False
63,113,봄 여름 가을 겨울 그리고 봄,,8945072.0,2003.0,17.082,7.84,103.0,6.239714286,47.006,12.999,2.964571429,27.328,5.196,206.67,False
64,114,Pretty Woman,14000000.0,463406268.0,1990.0,48.84,7.423,119.0,18.23142857,312.245,36.572,5.326,117.337,8.977,3310.04,False
65,115,The Big Lebowski,15000000.0,46969409.0,1998.0,29.229,7.843,117.0,29.09814286,406.338,32.961,5.793285714,176.926,7.756,313.13,False
66,116,Match Point,15000000.0,85306374.0,2005.0,18.15,7.353,124.0,27.47285714,347.78,55.876,6.245714286,116.822,14.465,568.71,False
67,117,The Untouchables,25000000.0,76270454.0,1987.0,50.272,7.767,119.0,31.98128571,334.389,74.08,4.894857143,99.144,8.775,305.08,False
68,118,Charlie and the Chocolate Factory,150000000.0,474968763.0,2005.0,110.432,7.038,115.0,29.28214286,382.69,44.258,7.106285714,210.891,16.77,316.65,False
69,120,The Lord of the Rings: The Fellowship of the Ring,93000000.0,871368364.0,2001.0,96.543,8.395,179.0,32.61485714,602.103,40.149,10.96157143,221.298,15.919,936.96,False
70,121,The Lord of the Rings: The Two Towers,79000000.0,926287400.0,2002.0,84.945,8.377,179.0,32.61485714,666.314,40.149,10.96157143,215.778,15.919,1172.52,False
71,122,The Lord of the Rings: The Return of the King,94000000.0,1118888979.0,2003.0,84.533,8.475,201.0,32.61485714,718.115,40.149,10.96157143,210.044,15.919,1190.31,True
72,123,The Lord of the Rings,4000000.0,30471420.0,1978.0,24.191,6.58,132.0,9.284714286,113.884,17.188,1.902142857,22.203,5.073,761.79,False
73,128,もののけ姫,26500000.0,159414369.0,1997.0,41.706,8.34,134.0,6.028857143,69.728,9.262,7.049,122.314,11.146,601.56,False
74,129,千と千尋の神隠し,19000000.0,274925095.0,2001.0,100.881,8.541,125.0,6.125,105.509,7.993,7.572571429,151.242,11.146,1446.97,False
75,134,"O Brother, Where Art Thou?",26000000.0,71870729.0,2000.0,26.212,7.325,107.0,22.41885714,231.428,28.287,5.208714286,103.002,5.36,276.43,False
76,136,Freaks,310607.0,,1932.0,17.382,7.821,62.0,3.008428571,55.936,3.822,2.671857143,21.61,4.602,206.67,False
77,137,Groundhog Day,14600000.0,71074049.0,1993.0,27.1,7.603,101.0,16.132,187.191,22.573,5.679714286,74.361,9.332,486.81,False
78,138,Dracula,355000.0,700000.0,1931.0,19.278,7.201,74.0,2.916714286,42.391,5.997,2.342,49.278,3.495,197.18,False
79,140,La mala educación,5000000.0,40266982.0,2004.0,12.091,7.392,106.0,7.853571429,81.144,18.83,3.610571429,52.919,4.897,805.34,False
80,141,Donnie Darko,6000000.0,7500000.0,2001.0,28.69,7.784,114.0,28.423,347.764,38.904,8.354571429,160.321,36.076,125.0,False
81,142,Brokeback Mountain,14000000.0,178043761.0,2005.0,31.08,7.803,134.0,29.89685714,322.918,43.901,5.309857143,129.161,11.312,1271.74,False
82,143,All Quiet on the Western Front,1448864.0,3270000.0,1930.0,24.479,7.796,133.0,2.635714286,58.816,3.2,1.461857143,16.504,3.186,225.69,True
83,144,Der Himmel über Berlin,2500000.0,3210139.0,1987.0,15.652,7.802,128.0,7.499428571,121.674,14.151,6.528428571,112.566,8.318,128.41,False
84,145,Breaking the Waves,,3803298.0,1996.0,17.528,7.483,159.0,11.916,98.726,26.534,4.469285714,46.986,10.257,206.67,False
85,146,卧虎藏龍,17000000.0,213525736.0,2000.0,28.836,7.402,120.0,20.61957143,152.962,86.057,6.700857143,119.472,11.312,1256.03,False
86,149,AKIRA,10000000.0,553171.0,1988.0,42.331,7.947,124.0,4.929285714,48.239,5.889,4.058285714,120.722,4.542,5.53,False
87,150,48 Hrs.,12000000.0,78868508.0,1982.0,22.324,6.677,96.0,19.49714286,301.261,28.645,6.92,112.66,8.254,657.24,False
88,152,Star Trek: The Motion Picture,35000000.0,139000000.0,1979.0,21.749,6.488,132.0,11.49442857,158.677,15.06,3.312714286,34.625,5.421,397.14,False
89,153,Lost in Translation,4000000.0,119723856.0,2003.0,21.233,7.394,102.0,17.85185714,162.987,55.876,16.46114286,180.721,43.52,2993.1,False
90,154,Star Trek II: The Wrath of Khan,12000000.0,96800000.0,1982.0,16.43,7.464,113.0,13.08071429,145.943,20.365,3.338571429,31.396,8.254,806.67,False
91,155,The Dark Knight,185000000.0,1004558444.0,2008.0,86.927,8.509,152.0,43.53257143,719.329,64.203,16.53314286,284.46,21.055,543.0,False
92,157,Star Trek III: The Search for Spock,18000000.0,87000000.0,1984.0,14.393,6.619,105.0,15.83228571,220.32,26.61,4.650285714,37.543,13.256,483.33,False
93,161,Ocean's Eleven,85000000.0,450717150.0,2001.0,37.512,7.421,116.0,32.72328571,535.695,59.415,7.526714286,215.399,14.244,530.26,False
94,162,Edward Scissorhands,20000000.0,53000000.0,1990.0,39.258,7.714,105.0,24.97714286,275.341,41.794,10.20514286,166.22,16.77,265.0,False
95,163,Ocean's Twelve,110000000.0,362744280.0,2004.0,28.888,6.559,125.0,34.37457143,549.466,59.415,7.165714286,204.974,9.555,329.77,False
96,164,Breakfast at Tiffany's,2500000.0,9500000.0,1961.0,27.041,7.691,114.0,12.33514286,209.058,17.326,2.487571429,36.773,4.703,380.0,False
97,165,Back to the Future Part II,40000000.0,332000000.0,1989.0,39.334,7.751,108.0,23.58285714,314.656,29.126,13.58785714,248.778,33.237,830.0,False
98,167,K-PAX,48000000.0,50315140.0,2001.0,14.346,7.187,120.0,19.53557143,209.363,36.29,5.926857143,143.294,7.847,104.82,False
99,168,Star Trek IV: The Voyage Home,24000000.0,133000000.0,1986.0,24.131,7.183,119.0,11.49442857,161.646,15.06,4.990571429,53.972,13.256,554.17,False
100,169,Predator 2,35000000.0,57120318.0,1990.0,43.609,6.237,108.0,16.32814286,269.7,24.35,4.843428571,128.469,5.867,163.2,False
101,170,28 Days Later,5000000.0,85720385.0,2002.0,36.177,7.2,113.0,18.40214286,169.827,54.192,4.536428571,84.923,6.487,1714.41,False
102,172,Star Trek V: The Final Frontier,30000000.0,70200000.0,1989.0,19.644,5.74,107.0,12.23157143,136.716,15.248,5.019285714,42.103,15.06,234.0,False
103,173,"20,000 Leagues Under the Sea",5000000.0,28200000.0,1954.0,20.835,7.075,127.0,8.491428571,90.555,16.528,4.039285714,44.983,11.677,564.0,False
104,174,Star Trek VI: The Undiscovered Country,27000000.0,96900000.0,1991.0,11.72,7.019,113.0,17.46428571,272.121,29.719,5.853285714,133.293,13.256,358.89,False
105,175,Le Grand Bleu,14390509.0,,1988.0,21.329,7.471,168.0,15.28985714,146.648,37.702,9.986142857,80.167,15.914,206.67,False
106,176,Saw,1200000.0,103911669.0,2004.0,48.305,7.396,103.0,20.18614286,203.302,34.784,8.828571429,132.174,17.446,8659.31,False
107,177,The Fisher King,24000000.0,41895491.0,1991.0,10.899,7.276,138.0,15.06571429,174.382,28.369,5.017571429,40.269,11.24,174.56,False
108,178,Blown Away,28000000.0,30156002.0,1994.0,15.561,6.139,121.0,22.35557143,206.25,43.138,5.255714286,72.257,6.595,107.7,False
109,179,The Interpreter,80000000.0,162944923.0,2005.0,16.051,6.3,128.0,18.12985714,248.55,28.986,7.254571429,194.517,10.209,203.68,False
110,180,Minority Report,102000000.0,358372926.0,2002.0,28.795,7.333,145.0,30.78785714,520.0,38.346,10.83071429,575.131,33.237,351.35,False
111,182,The Good German,32000000.0,5914908.0,2006.0,10.611,5.759,108.0,20.83671429,204.118,33.853,6.367428571,95.954,8.621,18.48,False
112,183,The Wizard,6000000.0,14278900.0,1989.0,12.675,6.008,100.0,18.32042857,179.52,33.853,2.188142857,22.016,4.317,237.98,False
113,184,Jackie Brown,12000000.0,39673162.0,1997.0,22.764,7.353,154.0,34.16442857,340.979,57.826,14.15585714,293.969,27.939,330.61,False
114,185,A Clockwork Orange,2200000.0,26589000.0,1971.0,37.647,8.221,137.0,9.988,154.985,17.231,8.041857143,84.91,15.779,1208.59,False
115,186,Lucky Number Slevin,27000000.0,56308881.0,2006.0,27.66,7.477,110.0,36.76228571,334.327,64.203,2.824857143,147.137,4.466,208.55,False
116,187,Sin City,40000000.0,158733820.0,2005.0,25.858,7.435,124.0,34.24328571,619.425,43.52,16.86985714,334.539,27.939,396.83,False
117,189,Sin City: A Dame to Kill For,65000000.0,39407616.0,2014.0,40.716,6.36,102.0,39.91157143,606.168,51.282,6.524,111.443,6.8,60.63,False
118,192,The Name of the Rose,18000000.0,77200000.0,1986.0,18.778,7.469,130.0,20.06757143,217.572,43.051,3.754285714,72.806,8.254,428.89,False
119,193,Star Trek: Generations,38000000.0,120000000.0,1994.0,17.263,6.5,118.0,19.79042857,295.768,24.479,3.673428571,106.593,5.965,315.79,False
120,194,Le Fabuleux Destin d'Amélie Poulain,10000000.0,173921954.0,2001.0,25.436,7.905,122.0,10.00657143,180.166,18.426,3.286142857,94.245,4.64,1739.22,False
121,196,Back to the Future Part III,40000000.0,244527583.0,1990.0,27.058,7.462,119.0,20.70171429,248.306,29.007,13.58785714,254.412,33.237,611.32,False
122,197,Braveheart,72000000.0,213216216.0,1995.0,35.784,7.931,178.0,22.263,335.383,34.653,14.22814286,345.794,30.765,296.13,True
123,198,To Be or Not to Be,1200000.0,1500000.0,1942.0,14.409,7.902,99.0,5.149285714,96.706,10.098,3.105857143,33.68,4.748,125.0,False
124,199,Star Trek: First Contact,46000000.0,150000000.0,1996.0,24.071,7.3,111.0,21.54614286,243.709,35.337,6.206857143,177.109,15.041,326.09,False
125,200,Star Trek: Insurrection,70000000.0,118000000.0,1998.0,20.637,6.4,103.0,16.985,215.228,22.92,8.509142857,249.868,22.92,168.57,False
126,201,Star Trek: Nemesis,60000000.0,67312826.0,2002.0,28.346,6.3,117.0,34.05714286,341.226,77.107,6.902142857,287.809,10.067,112.19,False
127,203,Mean Streets,500000.0,3000000.0,1973.0,14.76,7.113,112.0,19.438,175.055,57.826,9.769428571,95.226,15.775,600.0,False
128,205,Hotel Rwanda,17500000.0,38000000.0,2004.0,14.102,7.712,121.0,17.17728571,152.831,37.702,3.35,76.345,6.11,217.14,False
129,207,Dead Poets Society,16400000.0,235860116.0,1989.0,37.721,8.318,128.0,17.90328571,225.575,30.074,3.197,60.293,7.344,1438.17,False
130,212,Arsenic and Old Lace,1120175.0,,1944.0,10.308,7.617,118.0,6.429142857,76.427,12.798,3.899857143,43.733,6.088,206.67,False
131,213,North by Northwest,4000000.0,13275000.0,1959.0,21.309,7.991,136.0,10.57257143,257.217,15.666,7.322142857,86.498,15.666,331.88,False
132,214,Saw III,10000000.0,164874275.0,2006.0,30.615,6.38,114.0,15.07714286,192.234,34.784,9.991857143,128.392,17.446,1648.74,False
133,215,Saw II,4000000.0,147748505.0,2005.0,37.061,6.556,89.0,18.54914286,176.467,34.784,7.925571429,158.903,17.446,3693.71,False
134,216,Angst essen Seele auf,130000.0,,1974.0,10.161,7.744,93.0,3.06,37.722,4.98,3.736571429,27.356,4.98,206.67,False
135,217,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,786636033.0,2008.0,37.357,5.97,122.0,27.99214286,366.717,44.563,11.80914286,153.86,33.237,425.21,False
136,218,The Terminator,6400000.0,78371200.0,1984.0,56.914,7.639,108.0,16.37914286,198.853,23.308,10.59557143,150.815,25.977,1224.55,False
137,219,Volver,12899867.0,85582407.0,2006.0,13.588,7.479,121.0,8.199,86.135,22.322,2.42,46.813,4.897,663.44,False
138,221,Rebel Without a Cause,1500000.0,199963.0,1955.0,18.583,7.572,111.0,11.82957143,168.877,19.701,2.844428571,25.703,4.846,13.33,False
139,223,Rebecca,1288000.0,6000000.0,1940.0,17.25,7.907,130.0,9.399285714,104.005,15.666,3.880428571,53.123,15.666,465.84,True
140,226,Boys Don't Cry,2000000.0,11540607.0,1999.0,14.58,7.45,118.0,12.53785714,128.259,27.027,2.067857143,37.597,2.588,577.03,False
141,227,The Outsiders,10000000.0,33697647.0,1983.0,36.244,7.256,91.0,26.55528571,296.885,38.346,4.077,38.913,9.176,336.98,False
