Index,id,original_title,popularity,budget,revenue,release_date,popularity,vote_average,runtime,top_casts_popularity_avg,casts_popularity_sum,top_cast_popularity,top_crews_popularity_avg,crews_popularity_sum,top_crew_popularity
0,2,Ariel,9.553,,,1988,10.656,7.053,73,2.515714286,43.183,3.574,2.277857143,36.045,2.936
1,3,Varjoja paratiisissa,9.228,,,1986,8.276,7.183,74,2.672714286,40.189,3.469,2.158428571,28.203,2.936
2,5,Four Rooms,18.254,4000000,4257354,1995,22.784,5.744,98,32.03385714,362.055,36.681,15.71571429,225.92,27.939
3,6,Judgment Night,11.309,21000000,12136938,1993,11.53,6.543,109,14.83485714,124.008,23.049,3.600142857,32.165,5.436
4,11,Star Wars,87.513,11000000,775398007,1977,86.624,8.207,121,17.36771429,297.868,37.206,7.543,121.872,10.994
5,12,Finding Nemo,99.249,94000000,940335536,2003,99.34,7.824,100,23.00642857,467.094,41.251,8.758,404.117,14.186
6,13,Forrest Gump,69.08,55000000,677387716,1994,68.192,8.481,142,32.83757143,526.057,99.618,6.422,224.432,11.735
7,14,American Beauty,31.424,15000000,356296601,1999,29.015,8.03,122,19.36285714,229.872,25.965,9.646571429,208.761,28.986
8,15,Citizen Kane,19.667,839727,23218000,1941,18.031,8.023,119,9.962714286,268.076,16.358,8.231428571,64.335,14.954
9,16,Dancer in the Dark,14.64,12800000,40031879,2000,19.612,7.887,141,18.84,185.618,28.614,9.481285714,112.345,15.141
10,17,The Dark,8.792,,6593579,2005,10.921,5.817,87,8.585285714,61.991,30.177,3.144,119.584,10.405
11,18,The Fifth Element,51.914,90000000,263920180,1997,59.477,7.524,126,30.29185714,494.334,62.785,11.22785714,391.268,15.914
12,19,Metropolis,19.999,1300000,650422,1927,18.312,8.16,149,3.411285714,38.686,11.596,6.092428571,64.914,10.317
13,20,My Life Without Me,10.645,2500000,12300000,2003,16.395,5.879,106,17.27142857,144.732,26.762,2.432,30.785,4.897
14,21,The Endless Summer,9.544,,,1966,9.419,7.379,91,0.764,5.348,1.128,0.771428571,6.6,0.84
15,22,Pirates of the Caribbean: The Curse of the Black Pearl,108.799,140000000,655011224,2003,108.864,7.783,143,38.121,417.65,102.416,8.175714286,298.031,9.936
16,24,Kill Bill: Vol. 1,36.97,30000000,180906076,2003,44.236,7.971,111,23.69357143,311.557,40.792,21.501,410.748,35.397
17,25,Jarhead,20.922,72000000,97076152,2005,19.078,6.611,123,24.38757143,275.02,41.271,5.272714286,159.458,11.562
18,27,9 Songs,20.989,1000000,1574623,2004,23.794,5.723,69,3.404285714,27.47,8.248,4.092,30.312,5.607
19,28,Apocalypse Now,35.082,31500000,150000000,1979,36.234,8.284,147,27.53928571,301.516,54.756,7.277571429,118.998,9.176
20,33,Unforgiven,29.688,14400000,159157447,1992,27.06,7.925,130,33.65971429,324.276,64.203,19.352,205.367,50.802
21,35,The Simpsons Movie,71.134,75000000,527068851,2007,83.515,7,87,25.99142857,246.778,99.618,10.19142857,139.156,15.053
22,38,Eternal Sunshine of the Spotless Mind,59.688,20000000,72258126,2004,53.211,8.1,108,26.30057143,231.874,57.259,6.350571429,82.156,7.894
23,55,Amores perros,23.075,2000000,20908467,2000,30.986,7.619,154,5.840285714,61.328,18.83,9.303285714,117.488,26.927
24,58,Pirates of the Caribbean: Dead Man's Chest,99.235,200000000,1065659812,2006,98.448,7.3,151,30.12514286,385.591,41.794,9.114142857,316.889,12.807
25,59,A History of Violence,13.915,32000000,60740827,2005,17.83,7.181,96,20.86271429,186.966,40.611,4.525714286,80.405,13.15
26,62,2001: A Space Odyssey,38.882,12000000,71923560,1968,39.345,8.083,149,7.419714286,117.952,15.779,10.75371429,103.772,15.779
27,63,Twelve Monkeys,28.07,29000000,168841459,1995,40.905,7.598,129,21.97985714,239.206,36.681,5.571714286,170.618,11.24
28,64,Hable con ella,12.236,,64803131,2002,12.595,7.601,112,12.67385714,118.223,25.121,3.345,29.079,4.897
29,65,8 Mile,33.57,41000000,242875078,2002,24.948,7.123,111,21.24014286,203.58,40.781,5.432,141.002,11.288
30,66,Absolute Power,14.18,50000000,50068310,1997,14.939,6.633,121,28.86571429,291.759,50.802,16.67842857,130.011,50.802
31,67,Paradise Now,8.986,2000000,3395627,2005,8.836,6.935,90,5.677571429,39.743,13.608,2.012285714,21.646,6.19
32,68,Brazil,16.877,15000000,9900000,1985,15.513,7.682,143,19.02228571,236.152,57.826,6.419857143,76.389,11.24
33,69,Walk the Line,20.291,28000000,186797986,2005,22.324,7.495,136,20.05485714,253.469,53.205,7.390285714,124.318,13.352
34,70,Million Dollar Baby,23.148,30000000,216763646,2004,27.074,7.963,132,37.26128571,400.416,64.203,25.78371429,280.578,50.802
35,71,Billy Elliot,20.161,5000000,109280263,2000,23.305,7.592,110,11.14414286,126.029,18.455,2.252142857,23.499,4.839
36,73,American History X,24.874,20000000,23875127,1998,29.381,8.358,119,25.50771429,287.891,36.749,3.423142857,119.606,7.382
37,74,War of the Worlds,49.396,132000000,603873119,2005,46.205,6.493,117,36.03571429,546.571,64.203,9.563,323.186,33.237
38,75,Mars Attacks!,31.229,70000000,101371017,1996,24.247,6.392,106,38.54485714,557.526,62.667,7.990571429,99.999,16.77
39,76,Before Sunrise,20.556,2500000,5987386,1995,24.44,7.965,101,8.370428571,73.519,30.074,3.051857143,35.796,5.817
40,77,Memento,26.336,9000000,39723096,2000,34.37,8.19,113,17.86857143,152.099,26.04,8.806285714,92.387,18.152
41,78,Blade Runner,40.157,28000000,41722424,1982,39.408,7.934,118,21.96414286,221.311,37.206,4.792285714,127.008,10.28
42,79,英雄,20.455,31000000,177394432,2002,21.692,7.513,99,25.92214286,193.347,73.521,8.780285714,77.166,27.939
43,80,Before Sunset,17.985,2700000,15992615,2004,18.444,7.821,80,9.013428571,65.768,30.074,11.09871429,93.092,30.074
44,81,風の谷のナウシカ,34.237,1000000,3301446,1984,42.222,7.93,117,7.763857143,110.729,9.391,10.17257143,132.823,11.146
45,82,Miami Vice,13.284,135000000,163794509,2006,18.172,5.987,132,20.70271429,304.09,33.459,6.709714286,226.361,9.509
