,year_film,film,winner
0,1927,The Noose,False
1,1927,The Last Command,True
2,1927,A Ship Comes In,False
3,1927,7th Heaven,True
4,1927,Sadie Thompson,False
5,1927,The Dove;,True
6,1927,The Devil Dancer;,False
7,1927,Sunrise,True
8,1927,Two Arabian Knights,True
9,1927,Speedy,False
10,1927,Sorrell and Son,False
11,1927,The Crowd,False
12,1927,Wings,True
13,1927,The Racket,False
14,1927,Chang,False
15,1927,The Jazz Singer,False
16,1927,Glorious Betsy,False
17,1927,Underworld,True
18,1927,The Private Life of Helen of Troy,False
19,1928,Thunderbolt,False
20,1928,In Old Arizona,True
21,1928,Alibi,False
22,1928,The Valiant,False
23,1928,Madame X,False
24,1928,The Barker,False
25,1928,The Letter,False
26,1928,Coquette,True
27,1928,The Bridge of San Luis Rey,True
28,1928,Dynamite,False
29,1928,Alibi;,False
30,1928,Street Angel,False
31,1928,Our Dancing Daughters,False
32,1928,White Shadows in the South Seas,True
33,1928,Four Devils;,False
34,1928,The Divine Lady,True
35,1928,Drag;,False
36,1928,The Broadway Melody,True
37,1928,Hollywood Revue,False
38,1928,In Old Arizona;,False
39,1928,The Cop;,False
40,1928,The Last of Mrs. Cheyney,False
41,1928,The Patriot,True
42,1928,A Woman of Affairs;,False
43,1929,Disraeli,True
44,1929,The Green Goddess,False
45,1929,The Big Pond,False
46,1929,Bulldog Drummond,False
47,1929,The Rogue Song,False
48,1929,The Devil's Holiday,False
49,1929,Sarah and Son,False
50,1929,Anna Christie,False
51,1929,The Divorcee,True
52,1929,Their Own Desire,False
53,1929,The Trespasser,False
54,1929,King of Jazz,True
55,1929,The Love Parade,False
56,1929,Sally,False
57,1929,The Vagabond King,False
58,1929,Hell's Angels,False
59,1929,With Byrd at the South Pole,True
60,1929,Anna Christie;,False
61,1929,All Quiet on the Western Front,True
62,1929,Hallelujah,False
63,1929,The Big House,True
64,1929,The Case of Sergeant Grischa,False
65,1929,Raffles,False
66,1929,Song of the Flame,False
67,1929,Street of Chance,False
68,1930,A Free Soul,True
69,1930,The Royal Family of Broadway,False
70,1930,The Front Page,False
71,1930,Morocco,False
72,1930,Min and Bill,True
73,1930,Holiday,False
74,1930,Cimarron,True
75,1930,Just Imagine,False
76,1930,Svengali,False
77,1930,Whoopee!,False
78,1930,The Right to Love,False
79,1930,Tabu,True
80,1930,Skippy,True
81,1930,East Lynne,False
